2021.05.16 at 02:14:19 CST INFO  com.spring.BeanPostPorcessor.aspect.MyAspect 23 ad - aop proxy
2021.05.16 at 02:15:34 CST INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 458 postProcessAfterInitialization - Bean 'myService' of type [com.spring.BeanPostPorcessor.MyService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021.05.16 at 02:15:34 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 33 init - init
2021.05.16 at 02:15:34 CST INFO  com.spring.BeanPostPorcessor.MyService 12 xx - xx
2021.05.16 at 02:15:34 CST INFO  com.spring.BeanPostPorcessor.aspect.MyAspect 23 ad - aop proxy
2021.05.16 at 02:16:48 CST INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 458 postProcessAfterInitialization - Bean 'myService' of type [com.spring.BeanPostPorcessor.MyService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021.05.16 at 02:16:49 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 33 init - init
2021.05.16 at 02:16:49 CST INFO  com.spring.BeanPostPorcessor.MyService 12 xx - xx
2021.05.16 at 02:16:49 CST INFO  com.spring.BeanPostPorcessor.aspect.MyAspect 23 ad - aop proxy
2021.05.16 at 02:17:24 CST INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 458 postProcessAfterInitialization - Bean 'myService' of type [com.spring.BeanPostPorcessor.MyService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021.05.16 at 02:17:24 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 33 init - init
2021.05.16 at 02:17:24 CST INFO  com.spring.BeanPostPorcessor.MyService 12 xx - xx
2021.05.16 at 02:18:09 CST INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 458 postProcessAfterInitialization - Bean 'myService' of type [com.spring.BeanPostPorcessor.MyService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021.05.16 at 02:18:09 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 33 init - init
2021.05.16 at 02:18:09 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 38 printf - org.springframework.context.annotation.AnnotationConfigApplicationContext@3c9bfddc, started on Sun May 16 02:18:08 CST 2021
2021.05.16 at 02:18:56 CST INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 458 postProcessAfterInitialization - Bean 'myService' of type [com.spring.BeanPostPorcessor.MyService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021.05.16 at 02:18:56 CST INFO  com.spring.BeanPostPorcessor.MyBeanPostPorcessor 33 init - init
